relation,domains,ranges
railwayRollingStock,"{'http://dbpedia.org/ontology/RailwayTunnel', 'http://dbpedia.org/ontology/WaterwayTunnel', 'http://dbpedia.org/ontology/Road', 'http://dbpedia.org/ontology/Bridge', 'http://dbpedia.org/ontology/RailwayLine', 'http://dbpedia.org/ontology/RoadTunnel', 'http://dbpedia.org/ontology/RoadJunction'}",set()
billed,{'http://dbpedia.org/ontology/SumoWrestler'},"{'http://dbpedia.org/ontology/State', 'http://dbpedia.org/ontology/Island', 'http://dbpedia.org/ontology/Continent', 'http://dbpedia.org/ontology/Street', 'http://dbpedia.org/ontology/Territory', 'http://dbpedia.org/ontology/Intercommunality', 'http://dbpedia.org/ontology/Community', 'http://dbpedia.org/ontology/GatedCommunity', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/Agglomeration', 'http://dbpedia.org/ontology/Region', 'http://dbpedia.org/ontology/Country', 'http://dbpedia.org/ontology/Locality'}"
stylisticOrigin,set(),set()
coachedTeam,set(),"{'http://dbpedia.org/ontology/BaseballTeam', 'http://dbpedia.org/ontology/HandballTeam', 'http://dbpedia.org/ontology/CyclingTeam', 'http://dbpedia.org/ontology/FormulaOneTeam', 'http://dbpedia.org/ontology/AustralianFootballTeam', 'http://dbpedia.org/ontology/AmericanFootballTeam', 'http://dbpedia.org/ontology/HockeyTeam', 'http://dbpedia.org/ontology/CanadianFootballTeam', 'http://dbpedia.org/ontology/SpeedwayTeam', 'http://dbpedia.org/ontology/CricketTeam', 'http://dbpedia.org/ontology/BasketballTeam'}"
stateOfOrigin,"{'http://dbpedia.org/ontology/Cleric', 'http://dbpedia.org/ontology/Psychologist', 'http://dbpedia.org/ontology/PoliticianSpouse', 'http://dbpedia.org/ontology/Youtuber', 'http://dbpedia.org/ontology/Religious', 'http://dbpedia.org/ontology/Archeologist', 'http://dbpedia.org/ontology/Presenter', 'http://dbpedia.org/ontology/Athlete', 'http://dbpedia.org/ontology/HorseTrainer', 'http://dbpedia.org/ontology/Politician', 'http://dbpedia.org/ontology/TheatreDirector', 'http://dbpedia.org/ontology/MovieDirector', 'http://dbpedia.org/ontology/Academic', 'http://dbpedia.org/ontology/Writer', 'http://dbpedia.org/ontology/OfficeHolder', 'http://dbpedia.org/ontology/Artist', 'http://dbpedia.org/ontology/Royalty', 'http://dbpedia.org/ontology/Egyptologist', 'http://dbpedia.org/ontology/Noble', 'http://dbpedia.org/ontology/Spy', 'http://dbpedia.org/ontology/Coach', 'http://dbpedia.org/ontology/Linguist', 'http://dbpedia.org/ontology/Engineer', 'http://dbpedia.org/ontology/Referee', 'http://dbpedia.org/ontology/BeautyQueen', 'http://dbpedia.org/ontology/Monarch', 'http://dbpedia.org/ontology/TelevisionDirector', 'http://dbpedia.org/ontology/Man', 'http://dbpedia.org/ontology/Architect', 'http://dbpedia.org/ontology/PoliceOfficer', 'http://dbpedia.org/ontology/Criminal', 'http://dbpedia.org/ontology/Judge', 'http://dbpedia.org/ontology/Producer', 'http://dbpedia.org/ontology/Chef', 'http://dbpedia.org/ontology/SportsManager', 'http://dbpedia.org/ontology/MemberResistanceMovement', 'http://dbpedia.org/ontology/Scientist', 'http://dbpedia.org/ontology/DBpedian', 'http://dbpedia.org/ontology/Model', 'http://dbpedia.org/ontology/PlayboyPlaymate', 'http://dbpedia.org/ontology/OrganisationMember', 'http://dbpedia.org/ontology/MilitaryPerson', 'http://dbpedia.org/ontology/Philosopher', 'http://dbpedia.org/ontology/AmericanLeader', 'http://dbpedia.org/ontology/Economist', 'http://dbpedia.org/ontology/RomanEmperor', 'http://dbpedia.org/ontology/Journalist', 'http://dbpedia.org/ontology/Woman', 'http://dbpedia.org/ontology/Pilot', 'http://dbpedia.org/ontology/Astronaut', 'http://dbpedia.org/ontology/Lawyer', 'http://dbpedia.org/ontology/BusinessPerson', 'http://dbpedia.org/ontology/Aristocrat', 'http://dbpedia.org/ontology/Farmer'}",{'http://dbpedia.org/ontology/HistoricalCountry'}
principalArea,"{'http://dbpedia.org/ontology/State', 'http://dbpedia.org/ontology/Island', 'http://dbpedia.org/ontology/Continent', 'http://dbpedia.org/ontology/Street', 'http://dbpedia.org/ontology/Territory', 'http://dbpedia.org/ontology/Intercommunality', 'http://dbpedia.org/ontology/Community', 'http://dbpedia.org/ontology/GatedCommunity', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/Agglomeration', 'http://dbpedia.org/ontology/Region', 'http://dbpedia.org/ontology/Country', 'http://dbpedia.org/ontology/Locality'}","{'http://dbpedia.org/ontology/State', 'http://dbpedia.org/ontology/Island', 'http://dbpedia.org/ontology/Continent', 'http://dbpedia.org/ontology/Street', 'http://dbpedia.org/ontology/Territory', 'http://dbpedia.org/ontology/Intercommunality', 'http://dbpedia.org/ontology/Community', 'http://dbpedia.org/ontology/GatedCommunity', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/Agglomeration', 'http://dbpedia.org/ontology/Region', 'http://dbpedia.org/ontology/Country', 'http://dbpedia.org/ontology/Locality'}"
hometown,"{'http://dbpedia.org/ontology/Family', 'http://dbpedia.org/ontology/Employer', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Deity', 'http://dbpedia.org/ontology/FictionalCharacter'}","{'http://dbpedia.org/ontology/HistoricalSettlement', 'http://dbpedia.org/ontology/Town', 'http://dbpedia.org/ontology/City', 'http://dbpedia.org/ontology/CityDistrict', 'http://dbpedia.org/ontology/Village'}"
race,set(),"{'http://dbpedia.org/ontology/MotorRace', 'http://dbpedia.org/ontology/HorseRace', 'http://dbpedia.org/ontology/CyclingRace'}"
structuralSystem,"{'http://dbpedia.org/ontology/Restaurant', 'http://dbpedia.org/ontology/ReligiousBuilding', 'http://dbpedia.org/ontology/Skyscraper', 'http://dbpedia.org/ontology/ShoppingMall', 'http://dbpedia.org/ontology/Factory', 'http://dbpedia.org/ontology/Prison', 'http://dbpedia.org/ontology/HistoricBuilding', 'http://dbpedia.org/ontology/Castle', 'http://dbpedia.org/ontology/Hotel', 'http://dbpedia.org/ontology/Casino', 'http://dbpedia.org/ontology/Venue', 'http://dbpedia.org/ontology/Museum'}",set()
university,set(),"{'http://dbpedia.org/ontology/School', 'http://dbpedia.org/ontology/College', 'http://dbpedia.org/ontology/University', 'http://dbpedia.org/ontology/Library'}"
patron,set(),"{'http://dbpedia.org/ontology/Cleric', 'http://dbpedia.org/ontology/Psychologist', 'http://dbpedia.org/ontology/PoliticianSpouse', 'http://dbpedia.org/ontology/Youtuber', 'http://dbpedia.org/ontology/Religious', 'http://dbpedia.org/ontology/Archeologist', 'http://dbpedia.org/ontology/Presenter', 'http://dbpedia.org/ontology/Athlete', 'http://dbpedia.org/ontology/HorseTrainer', 'http://dbpedia.org/ontology/Politician', 'http://dbpedia.org/ontology/TheatreDirector', 'http://dbpedia.org/ontology/MovieDirector', 'http://dbpedia.org/ontology/Academic', 'http://dbpedia.org/ontology/Writer', 'http://dbpedia.org/ontology/OfficeHolder', 'http://dbpedia.org/ontology/Artist', 'http://dbpedia.org/ontology/Royalty', 'http://dbpedia.org/ontology/Egyptologist', 'http://dbpedia.org/ontology/Noble', 'http://dbpedia.org/ontology/Spy', 'http://dbpedia.org/ontology/Coach', 'http://dbpedia.org/ontology/Linguist', 'http://dbpedia.org/ontology/Engineer', 'http://dbpedia.org/ontology/Referee', 'http://dbpedia.org/ontology/BeautyQueen', 'http://dbpedia.org/ontology/Monarch', 'http://dbpedia.org/ontology/TelevisionDirector', 'http://dbpedia.org/ontology/Man', 'http://dbpedia.org/ontology/Architect', 'http://dbpedia.org/ontology/PoliceOfficer', 'http://dbpedia.org/ontology/Criminal', 'http://dbpedia.org/ontology/Judge', 'http://dbpedia.org/ontology/Producer', 'http://dbpedia.org/ontology/Chef', 'http://dbpedia.org/ontology/SportsManager', 'http://dbpedia.org/ontology/MemberResistanceMovement', 'http://dbpedia.org/ontology/Scientist', 'http://dbpedia.org/ontology/DBpedian', 'http://dbpedia.org/ontology/Model', 'http://dbpedia.org/ontology/PlayboyPlaymate', 'http://dbpedia.org/ontology/OrganisationMember', 'http://dbpedia.org/ontology/MilitaryPerson', 'http://dbpedia.org/ontology/Philosopher', 'http://dbpedia.org/ontology/AmericanLeader', 'http://dbpedia.org/ontology/Economist', 'http://dbpedia.org/ontology/RomanEmperor', 'http://dbpedia.org/ontology/Journalist', 'http://dbpedia.org/ontology/Woman', 'http://dbpedia.org/ontology/Pilot', 'http://dbpedia.org/ontology/Astronaut', 'http://dbpedia.org/ontology/Lawyer', 'http://dbpedia.org/ontology/BusinessPerson', 'http://dbpedia.org/ontology/Aristocrat', 'http://dbpedia.org/ontology/Farmer'}"
doctoralStudent,"{'http://dbpedia.org/ontology/Professor', 'http://dbpedia.org/ontology/Biologist', 'http://dbpedia.org/ontology/Medician', 'http://dbpedia.org/ontology/Entomologist'}","{'http://dbpedia.org/ontology/Cleric', 'http://dbpedia.org/ontology/Psychologist', 'http://dbpedia.org/ontology/PoliticianSpouse', 'http://dbpedia.org/ontology/Youtuber', 'http://dbpedia.org/ontology/Religious', 'http://dbpedia.org/ontology/Archeologist', 'http://dbpedia.org/ontology/Presenter', 'http://dbpedia.org/ontology/Athlete', 'http://dbpedia.org/ontology/HorseTrainer', 'http://dbpedia.org/ontology/Politician', 'http://dbpedia.org/ontology/TheatreDirector', 'http://dbpedia.org/ontology/MovieDirector', 'http://dbpedia.org/ontology/Academic', 'http://dbpedia.org/ontology/Writer', 'http://dbpedia.org/ontology/OfficeHolder', 'http://dbpedia.org/ontology/Artist', 'http://dbpedia.org/ontology/Royalty', 'http://dbpedia.org/ontology/Egyptologist', 'http://dbpedia.org/ontology/Noble', 'http://dbpedia.org/ontology/Spy', 'http://dbpedia.org/ontology/Coach', 'http://dbpedia.org/ontology/Linguist', 'http://dbpedia.org/ontology/Engineer', 'http://dbpedia.org/ontology/Referee', 'http://dbpedia.org/ontology/BeautyQueen', 'http://dbpedia.org/ontology/Monarch', 'http://dbpedia.org/ontology/TelevisionDirector', 'http://dbpedia.org/ontology/Man', 'http://dbpedia.org/ontology/Architect', 'http://dbpedia.org/ontology/PoliceOfficer', 'http://dbpedia.org/ontology/Criminal', 'http://dbpedia.org/ontology/Judge', 'http://dbpedia.org/ontology/Producer', 'http://dbpedia.org/ontology/Chef', 'http://dbpedia.org/ontology/SportsManager', 'http://dbpedia.org/ontology/MemberResistanceMovement', 'http://dbpedia.org/ontology/Scientist', 'http://dbpedia.org/ontology/DBpedian', 'http://dbpedia.org/ontology/Model', 'http://dbpedia.org/ontology/PlayboyPlaymate', 'http://dbpedia.org/ontology/OrganisationMember', 'http://dbpedia.org/ontology/MilitaryPerson', 'http://dbpedia.org/ontology/Philosopher', 'http://dbpedia.org/ontology/AmericanLeader', 'http://dbpedia.org/ontology/Economist', 'http://dbpedia.org/ontology/RomanEmperor', 'http://dbpedia.org/ontology/Journalist', 'http://dbpedia.org/ontology/Woman', 'http://dbpedia.org/ontology/Pilot', 'http://dbpedia.org/ontology/Astronaut', 'http://dbpedia.org/ontology/Lawyer', 'http://dbpedia.org/ontology/BusinessPerson', 'http://dbpedia.org/ontology/Aristocrat', 'http://dbpedia.org/ontology/Farmer'}"
politicalPartyInLegislature,set(),set()
subregion,"{'http://dbpedia.org/ontology/CountrySeat', 'http://dbpedia.org/ontology/Park', 'http://dbpedia.org/ontology/NaturalPlace', 'http://dbpedia.org/ontology/ProtectedArea', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/قبرستان', 'http://dbpedia.org/ontology/ConcentrationCamp', 'http://dbpedia.org/ontology/CelestialBody', 'http://dbpedia.org/ontology/SiteOfSpecialScientificInterest', 'http://dbpedia.org/ontology/WineRegion', 'http://dbpedia.org/ontology/Cemetery', 'http://dbpedia.org/ontology/Mine', 'http://dbpedia.org/ontology/HistoricPlace', 'http://dbpedia.org/ontology/Garden', 'http://dbpedia.org/ontology/WorldHeritageSite'}","{'http://dbpedia.org/ontology/CountrySeat', 'http://dbpedia.org/ontology/Park', 'http://dbpedia.org/ontology/NaturalPlace', 'http://dbpedia.org/ontology/ProtectedArea', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/قبرستان', 'http://dbpedia.org/ontology/ConcentrationCamp', 'http://dbpedia.org/ontology/CelestialBody', 'http://dbpedia.org/ontology/SiteOfSpecialScientificInterest', 'http://dbpedia.org/ontology/WineRegion', 'http://dbpedia.org/ontology/Cemetery', 'http://dbpedia.org/ontology/Mine', 'http://dbpedia.org/ontology/HistoricPlace', 'http://dbpedia.org/ontology/Garden', 'http://dbpedia.org/ontology/WorldHeritageSite'}"
agency,"{'http://dbpedia.org/ontology/Cleric', 'http://dbpedia.org/ontology/Psychologist', 'http://dbpedia.org/ontology/PoliticianSpouse', 'http://dbpedia.org/ontology/Youtuber', 'http://dbpedia.org/ontology/Religious', 'http://dbpedia.org/ontology/Archeologist', 'http://dbpedia.org/ontology/Presenter', 'http://dbpedia.org/ontology/Athlete', 'http://dbpedia.org/ontology/HorseTrainer', 'http://dbpedia.org/ontology/Politician', 'http://dbpedia.org/ontology/TheatreDirector', 'http://dbpedia.org/ontology/MovieDirector', 'http://dbpedia.org/ontology/Academic', 'http://dbpedia.org/ontology/Writer', 'http://dbpedia.org/ontology/OfficeHolder', 'http://dbpedia.org/ontology/Artist', 'http://dbpedia.org/ontology/Royalty', 'http://dbpedia.org/ontology/Egyptologist', 'http://dbpedia.org/ontology/Noble', 'http://dbpedia.org/ontology/Spy', 'http://dbpedia.org/ontology/Coach', 'http://dbpedia.org/ontology/Linguist', 'http://dbpedia.org/ontology/Engineer', 'http://dbpedia.org/ontology/Referee', 'http://dbpedia.org/ontology/BeautyQueen', 'http://dbpedia.org/ontology/Monarch', 'http://dbpedia.org/ontology/TelevisionDirector', 'http://dbpedia.org/ontology/Man', 'http://dbpedia.org/ontology/Architect', 'http://dbpedia.org/ontology/PoliceOfficer', 'http://dbpedia.org/ontology/Criminal', 'http://dbpedia.org/ontology/Judge', 'http://dbpedia.org/ontology/Producer', 'http://dbpedia.org/ontology/Chef', 'http://dbpedia.org/ontology/SportsManager', 'http://dbpedia.org/ontology/MemberResistanceMovement', 'http://dbpedia.org/ontology/Scientist', 'http://dbpedia.org/ontology/DBpedian', 'http://dbpedia.org/ontology/Model', 'http://dbpedia.org/ontology/PlayboyPlaymate', 'http://dbpedia.org/ontology/OrganisationMember', 'http://dbpedia.org/ontology/MilitaryPerson', 'http://dbpedia.org/ontology/Philosopher', 'http://dbpedia.org/ontology/AmericanLeader', 'http://dbpedia.org/ontology/Economist', 'http://dbpedia.org/ontology/RomanEmperor', 'http://dbpedia.org/ontology/Journalist', 'http://dbpedia.org/ontology/Woman', 'http://dbpedia.org/ontology/Pilot', 'http://dbpedia.org/ontology/Astronaut', 'http://dbpedia.org/ontology/Lawyer', 'http://dbpedia.org/ontology/BusinessPerson', 'http://dbpedia.org/ontology/Aristocrat', 'http://dbpedia.org/ontology/Farmer'}",set()
profession,"{'http://dbpedia.org/ontology/Cleric', 'http://dbpedia.org/ontology/Psychologist', 'http://dbpedia.org/ontology/PoliticianSpouse', 'http://dbpedia.org/ontology/Youtuber', 'http://dbpedia.org/ontology/Religious', 'http://dbpedia.org/ontology/Archeologist', 'http://dbpedia.org/ontology/Presenter', 'http://dbpedia.org/ontology/Athlete', 'http://dbpedia.org/ontology/HorseTrainer', 'http://dbpedia.org/ontology/Politician', 'http://dbpedia.org/ontology/TheatreDirector', 'http://dbpedia.org/ontology/MovieDirector', 'http://dbpedia.org/ontology/Academic', 'http://dbpedia.org/ontology/Writer', 'http://dbpedia.org/ontology/OfficeHolder', 'http://dbpedia.org/ontology/Artist', 'http://dbpedia.org/ontology/Royalty', 'http://dbpedia.org/ontology/Egyptologist', 'http://dbpedia.org/ontology/Noble', 'http://dbpedia.org/ontology/Spy', 'http://dbpedia.org/ontology/Coach', 'http://dbpedia.org/ontology/Linguist', 'http://dbpedia.org/ontology/Engineer', 'http://dbpedia.org/ontology/Referee', 'http://dbpedia.org/ontology/BeautyQueen', 'http://dbpedia.org/ontology/Monarch', 'http://dbpedia.org/ontology/TelevisionDirector', 'http://dbpedia.org/ontology/Man', 'http://dbpedia.org/ontology/Architect', 'http://dbpedia.org/ontology/PoliceOfficer', 'http://dbpedia.org/ontology/Criminal', 'http://dbpedia.org/ontology/Judge', 'http://dbpedia.org/ontology/Producer', 'http://dbpedia.org/ontology/Chef', 'http://dbpedia.org/ontology/SportsManager', 'http://dbpedia.org/ontology/MemberResistanceMovement', 'http://dbpedia.org/ontology/Scientist', 'http://dbpedia.org/ontology/DBpedian', 'http://dbpedia.org/ontology/Model', 'http://dbpedia.org/ontology/PlayboyPlaymate', 'http://dbpedia.org/ontology/OrganisationMember', 'http://dbpedia.org/ontology/MilitaryPerson', 'http://dbpedia.org/ontology/Philosopher', 'http://dbpedia.org/ontology/AmericanLeader', 'http://dbpedia.org/ontology/Economist', 'http://dbpedia.org/ontology/RomanEmperor', 'http://dbpedia.org/ontology/Journalist', 'http://dbpedia.org/ontology/Woman', 'http://dbpedia.org/ontology/Pilot', 'http://dbpedia.org/ontology/Astronaut', 'http://dbpedia.org/ontology/Lawyer', 'http://dbpedia.org/ontology/BusinessPerson', 'http://dbpedia.org/ontology/Aristocrat', 'http://dbpedia.org/ontology/Farmer'}",set()
coverArtist,"{'http://dbpedia.org/ontology/CollectionOfValuables', 'http://dbpedia.org/ontology/TelevisionShow', 'http://dbpedia.org/ontology/LineOfFashion', 'http://dbpedia.org/ontology/TelevisionEpisode', 'http://dbpedia.org/ontology/Website', 'http://dbpedia.org/ontology/RadioProgram', 'http://dbpedia.org/ontology/WrittenWork', 'http://dbpedia.org/ontology/Document', 'http://dbpedia.org/ontology/Database', 'http://dbpedia.org/ontology/Software', 'http://dbpedia.org/ontology/MusicalWork', 'http://dbpedia.org/ontology/Film', 'http://dbpedia.org/ontology/TelevisionSeason', 'http://dbpedia.org/ontology/Artwork'}","{'http://dbpedia.org/ontology/Cleric', 'http://dbpedia.org/ontology/Psychologist', 'http://dbpedia.org/ontology/PoliticianSpouse', 'http://dbpedia.org/ontology/Youtuber', 'http://dbpedia.org/ontology/Religious', 'http://dbpedia.org/ontology/Archeologist', 'http://dbpedia.org/ontology/Presenter', 'http://dbpedia.org/ontology/Athlete', 'http://dbpedia.org/ontology/HorseTrainer', 'http://dbpedia.org/ontology/Politician', 'http://dbpedia.org/ontology/TheatreDirector', 'http://dbpedia.org/ontology/MovieDirector', 'http://dbpedia.org/ontology/Academic', 'http://dbpedia.org/ontology/Writer', 'http://dbpedia.org/ontology/OfficeHolder', 'http://dbpedia.org/ontology/Artist', 'http://dbpedia.org/ontology/Royalty', 'http://dbpedia.org/ontology/Egyptologist', 'http://dbpedia.org/ontology/Noble', 'http://dbpedia.org/ontology/Spy', 'http://dbpedia.org/ontology/Coach', 'http://dbpedia.org/ontology/Linguist', 'http://dbpedia.org/ontology/Engineer', 'http://dbpedia.org/ontology/Referee', 'http://dbpedia.org/ontology/BeautyQueen', 'http://dbpedia.org/ontology/Monarch', 'http://dbpedia.org/ontology/TelevisionDirector', 'http://dbpedia.org/ontology/Man', 'http://dbpedia.org/ontology/Architect', 'http://dbpedia.org/ontology/PoliceOfficer', 'http://dbpedia.org/ontology/Criminal', 'http://dbpedia.org/ontology/Judge', 'http://dbpedia.org/ontology/Producer', 'http://dbpedia.org/ontology/Chef', 'http://dbpedia.org/ontology/SportsManager', 'http://dbpedia.org/ontology/MemberResistanceMovement', 'http://dbpedia.org/ontology/Scientist', 'http://dbpedia.org/ontology/DBpedian', 'http://dbpedia.org/ontology/Model', 'http://dbpedia.org/ontology/PlayboyPlaymate', 'http://dbpedia.org/ontology/OrganisationMember', 'http://dbpedia.org/ontology/MilitaryPerson', 'http://dbpedia.org/ontology/Philosopher', 'http://dbpedia.org/ontology/AmericanLeader', 'http://dbpedia.org/ontology/Economist', 'http://dbpedia.org/ontology/RomanEmperor', 'http://dbpedia.org/ontology/Journalist', 'http://dbpedia.org/ontology/Woman', 'http://dbpedia.org/ontology/Pilot', 'http://dbpedia.org/ontology/Astronaut', 'http://dbpedia.org/ontology/Lawyer', 'http://dbpedia.org/ontology/BusinessPerson', 'http://dbpedia.org/ontology/Aristocrat', 'http://dbpedia.org/ontology/Farmer'}"
director,set(),"{'http://dbpedia.org/ontology/Cleric', 'http://dbpedia.org/ontology/Psychologist', 'http://dbpedia.org/ontology/PoliticianSpouse', 'http://dbpedia.org/ontology/Youtuber', 'http://dbpedia.org/ontology/Religious', 'http://dbpedia.org/ontology/Archeologist', 'http://dbpedia.org/ontology/Presenter', 'http://dbpedia.org/ontology/Athlete', 'http://dbpedia.org/ontology/HorseTrainer', 'http://dbpedia.org/ontology/Politician', 'http://dbpedia.org/ontology/TheatreDirector', 'http://dbpedia.org/ontology/MovieDirector', 'http://dbpedia.org/ontology/Academic', 'http://dbpedia.org/ontology/Writer', 'http://dbpedia.org/ontology/OfficeHolder', 'http://dbpedia.org/ontology/Artist', 'http://dbpedia.org/ontology/Royalty', 'http://dbpedia.org/ontology/Egyptologist', 'http://dbpedia.org/ontology/Noble', 'http://dbpedia.org/ontology/Spy', 'http://dbpedia.org/ontology/Coach', 'http://dbpedia.org/ontology/Linguist', 'http://dbpedia.org/ontology/Engineer', 'http://dbpedia.org/ontology/Referee', 'http://dbpedia.org/ontology/BeautyQueen', 'http://dbpedia.org/ontology/Monarch', 'http://dbpedia.org/ontology/TelevisionDirector', 'http://dbpedia.org/ontology/Man', 'http://dbpedia.org/ontology/Architect', 'http://dbpedia.org/ontology/PoliceOfficer', 'http://dbpedia.org/ontology/Criminal', 'http://dbpedia.org/ontology/Judge', 'http://dbpedia.org/ontology/Producer', 'http://dbpedia.org/ontology/Chef', 'http://dbpedia.org/ontology/SportsManager', 'http://dbpedia.org/ontology/MemberResistanceMovement', 'http://dbpedia.org/ontology/Scientist', 'http://dbpedia.org/ontology/DBpedian', 'http://dbpedia.org/ontology/Model', 'http://dbpedia.org/ontology/PlayboyPlaymate', 'http://dbpedia.org/ontology/OrganisationMember', 'http://dbpedia.org/ontology/MilitaryPerson', 'http://dbpedia.org/ontology/Philosopher', 'http://dbpedia.org/ontology/AmericanLeader', 'http://dbpedia.org/ontology/Economist', 'http://dbpedia.org/ontology/RomanEmperor', 'http://dbpedia.org/ontology/Journalist', 'http://dbpedia.org/ontology/Woman', 'http://dbpedia.org/ontology/Pilot', 'http://dbpedia.org/ontology/Astronaut', 'http://dbpedia.org/ontology/Lawyer', 'http://dbpedia.org/ontology/BusinessPerson', 'http://dbpedia.org/ontology/Aristocrat', 'http://dbpedia.org/ontology/Farmer'}"
raceHorse,set(),set()
instrument,"{'http://dbpedia.org/ontology/Sculptor', 'http://dbpedia.org/ontology/Photographer', 'http://dbpedia.org/ontology/Humorist', 'http://dbpedia.org/ontology/Painter', 'http://dbpedia.org/ontology/ComicsCreator', 'http://dbpedia.org/ontology/Dancer', 'http://dbpedia.org/ontology/Comedian', 'http://dbpedia.org/ontology/MusicalArtist', 'http://dbpedia.org/ontology/FashionDesigner', 'http://dbpedia.org/ontology/Actor'}","{'http://dbpedia.org/ontology/Organ', 'http://dbpedia.org/ontology/Guitar'}"
draftTeam,"{'http://dbpedia.org/ontology/WaterPoloPlayer', 'http://dbpedia.org/ontology/HorseRider', 'http://dbpedia.org/ontology/VolleyballPlayer', 'http://dbpedia.org/ontology/RugbyPlayer', 'http://dbpedia.org/ontology/TableTennisPlayer', 'http://dbpedia.org/ontology/BadmintonPlayer', 'http://dbpedia.org/ontology/TeamMember', 'http://dbpedia.org/ontology/ChessPlayer', 'http://dbpedia.org/ontology/BasketballPlayer', 'http://dbpedia.org/ontology/HandballPlayer', 'http://dbpedia.org/ontology/NationalCollegiateAthleticAssociationAthlete', 'http://dbpedia.org/ontology/Rower', 'http://dbpedia.org/ontology/AthleticsPlayer', 'http://dbpedia.org/ontology/GolfPlayer', 'http://dbpedia.org/ontology/SquashPlayer', 'http://dbpedia.org/ontology/Surfer', 'http://dbpedia.org/ontology/AustralianRulesFootballPlayer', 'http://dbpedia.org/ontology/GaelicGamesPlayer', 'http://dbpedia.org/ontology/MartialArtist', 'http://dbpedia.org/ontology/Sailor', 'http://dbpedia.org/ontology/DartsPlayer', 'http://dbpedia.org/ontology/Wrestler', 'http://dbpedia.org/ontology/Bodybuilder', 'http://dbpedia.org/ontology/Cricketer', 'http://dbpedia.org/ontology/BaseballPlayer', 'http://dbpedia.org/ontology/Canoeist', 'http://dbpedia.org/ontology/ArcherPlayer', 'http://dbpedia.org/ontology/Cyclist', 'http://dbpedia.org/ontology/WinterSportPlayer', 'http://dbpedia.org/ontology/HighDiver', 'http://dbpedia.org/ontology/Boxer', 'http://dbpedia.org/ontology/NetballPlayer', 'http://dbpedia.org/ontology/PokerPlayer', 'http://dbpedia.org/ontology/SnookerPlayer', 'http://dbpedia.org/ontology/BullFighter', 'http://dbpedia.org/ontology/SoccerPlayer', 'http://dbpedia.org/ontology/Gymnast', 'http://dbpedia.org/ontology/TennisPlayer', 'http://dbpedia.org/ontology/LacrossePlayer', 'http://dbpedia.org/ontology/Jockey', 'http://dbpedia.org/ontology/Fencer', 'http://dbpedia.org/ontology/MotorsportRacer', 'http://dbpedia.org/ontology/Swimmer', 'http://dbpedia.org/ontology/GridironFootballPlayer'}","{'http://dbpedia.org/ontology/BaseballTeam', 'http://dbpedia.org/ontology/HandballTeam', 'http://dbpedia.org/ontology/CyclingTeam', 'http://dbpedia.org/ontology/FormulaOneTeam', 'http://dbpedia.org/ontology/AustralianFootballTeam', 'http://dbpedia.org/ontology/AmericanFootballTeam', 'http://dbpedia.org/ontology/HockeyTeam', 'http://dbpedia.org/ontology/CanadianFootballTeam', 'http://dbpedia.org/ontology/SpeedwayTeam', 'http://dbpedia.org/ontology/CricketTeam', 'http://dbpedia.org/ontology/BasketballTeam'}"
deathPlace,"{'http://dbpedia.org/ontology/Reptile', 'http://dbpedia.org/ontology/Fish', 'http://dbpedia.org/ontology/Crustacean', 'http://dbpedia.org/ontology/Mammal', 'http://dbpedia.org/ontology/Bird', 'http://dbpedia.org/ontology/Mollusca', 'http://dbpedia.org/ontology/Arachnid', 'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Amphibian', 'http://dbpedia.org/ontology/Insect'}","{'http://dbpedia.org/ontology/CountrySeat', 'http://dbpedia.org/ontology/Park', 'http://dbpedia.org/ontology/NaturalPlace', 'http://dbpedia.org/ontology/ProtectedArea', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/قبرستان', 'http://dbpedia.org/ontology/ConcentrationCamp', 'http://dbpedia.org/ontology/CelestialBody', 'http://dbpedia.org/ontology/SiteOfSpecialScientificInterest', 'http://dbpedia.org/ontology/WineRegion', 'http://dbpedia.org/ontology/Cemetery', 'http://dbpedia.org/ontology/Mine', 'http://dbpedia.org/ontology/HistoricPlace', 'http://dbpedia.org/ontology/Garden', 'http://dbpedia.org/ontology/WorldHeritageSite'}"
usedInWar,set(),set()
